"cnt","to_usgs","to_comid","from_comid","from_usgs"
7,"03124800",19392708,"{19389648,19389766,19388778,19389138,19389922,19390010,19392430}","{03117000,03118500,03117500,03124500,03121850,03121500,03120500}"
7,"13317000",23559953,"{23503064,23531827,23551284,23551584,23551760,23551906,23568769}","{13307000,13310199,13310700,13313000,13311250,13311450,13316500}"
7,"01576000",4722221,"{4710000,4709260,4709222,4709484,4709644,4721721,4722109}","{01570500,01573560,01571005,01571500,01573710,01575585,01574000}"
7,"07364078",17916483,"{21999712,21813112,21950596,21956120,22000700,22698054,22699700}","{07359002,07363500,07362500,07362100,07359610,07360200,07361500}"
7,"01170500",6778961,"{9331548,6778371,9331072,9343517,10102628,10294622,10295286}","{01154500,01161000,01154950,01166500,01155910,01170100,01170000}"
7,"11337190",1889650,"{1889664,1889600,1889612,1909508,1889852,15048263,15059791}","{11313460,11336680,11336685,11313440,11336790,11337080,11447903}"
7,"03374000",18471066,"{18445710,18445240,18445356,18445546,18445570,18471000,18470668}","{03373500,03373560,03373686,03373508,03373610,03360730,03360600}"
7,"04290500",4578836,"{4577854,4577918,4577590,4577698,4577910,4578756,4578812}","{04289000,04286000,04288000,04287000,04287300,04289881,04290335}"
7,"03414100",3577682,"{2081162,3573840,3575414,10192068,10190276,12151602,12151838}","{03406500,03407500,03413200,03404500,03404900,03410590,03410500}"
7,"06906500",5158001,"{4388401,4388079,4461478,5969716,5816473,5816209,5969054}","{06895500,06896000,06906200,06902000,06905500,06906000,06902995}"
7,"08402000",22455677,"{20784350,22423332,22454933,22455359,22455531,22455729,22455973}","{08396500,08398500,08399500,08401200,08401500,08401900,08400000}"
7,"05064500",6696830,"{6667867,6688853,7027319,14254079,14828149,14828145,909020972}","{05054000,05062000,05064000,05060100,05059500,05059480,05060500}"
7,"0212433550",9202447,"{9201663,9202131,9202419,9202493,9202603,9203161,9203219}","{0212419274,0212393300,0212414900,02124269,0212430293,02124080,0212430653}"
6,"05092000",7077522,"{9398232,7069483,7069743,14428870,14434343,14440046}","{05082500,05085450,05087500,05090000,05085000,05082625}"
6,"04247055",21972840,"{21974253,904140174,21974929,21975021,21991043,22026196}","{04240300,04240105,04240120,04237496,04240010,04247000}"
6,"09423000",21436863,"{20721986,20677939,20624546,20682381,20721204,22071060}","{09404200,09415250,09419507,09404222,09404208,09419800}"
6,"07190500",21773053,"{7583113,7583213,7592691,7600551,7601075,24778185}","{07185095,07189542,07188000,07189100,07189000,07185000}"
6,"06902000",5969716,"{5106782,5108288,5140789,5966418,5967984,5967976}","{06897500,06899700,06899500,06900050,06901500,06900640}"
6,"06934500",6013072,"{5166993,5987239,5159279,5166543,5984765,7445669}","{06910450,06926510,06927240,06910750,06927000,06934000}"
6,"01570500",4710000,"{4518742,4518306,4520418,4699925,4710668,4712048}","{01554000,01555500,01555000,01567000,01568000,01570000}"
6,"01463500",2590277,"{2588381,2588261,2588233,2591219,2591267,4188251}","{01446500,01457000,01446775,01459500,01460880,01454700}"
6,"06721000",225621,"{229709,225687,229677,229717,2884976,2885178}","{06714215,06720990,394839104570300,06720460,06719840,06719505}"
6,"02394000",6499252,"{6498632,6497104,6497814,6498060,6498376,6500642}","{02392000,02392360,02392780,02392975,02393377,02393419}"
6,"09128000",3252173,"{3252637,3253137,3253975,9773129,9773517,9773615}","{09114500,09127000,09124500,09119000,09115500,09118450}"
6,"04294413",10314416,"{10311316,10312264,10312290,10312318,10312380,932010004}","{04276770,04276842,04279000,04280800,04279040,04279085}"
6,"08205500",10661028,"{10646917,10646003,10646939,10655687,10653947,10655685}","{08197500,08198500,08204005,08202700,08200977,08200720}"
6,"03140500",15379381,"{15399982,15400312,15401606,15409409,15411431,19392918}","{03139000,03140000,03136500,03129197,03131982,03129000}"
6,"01638500",4507348,"{4505256,4505510,4505612,5894726,5894792,8445070}","{01637500,01636690,01638480,01619500,01618000,01636500}"
6,"05452500",17543573,"{17539323,17539261,17541397,17541959,17543537,17543587}","{05451500,05451700,05451770,05451900,05452000,05452200}"
6,"03298500",10266496,"{10264164,10264216,10264224,10264298,10264364,10265394}","{03298200,03298300,03298250,03295890,03295400,03297800}"
6,"07145600",21166841,"{21166791,21145240,21152052,21160795,21165001,21165435}","{07144570,07145500,07145200,07144795,07144490,07144301}"
6,"10217000",3503647,"{3504347,3506561,5300997,5302465,10805283,10815868}","{10194200,10205030,09309600,10215900,10189000,10183500}"
6,"05404000",14709874,"{14732372,14704932,14705020,14708194,14711142,14733228}","{05398000,05400625,05401050,05403000,05403500,05399500}"
6,"08065000",1453127,"{1262643,1297176,1297270,1446644,1454931,4133253}","{08062700,08062800,08062895,08064100,08064700,08063100}"
6,"05288500",1100622,"{1100388,2367166,2721605,2723039,4251120,937010716}","{05287890,05286000,05270700,05275000,05280000,05288580}"
6,"06630000",15980585,"{15981273,15983265,15983485,15983787,15984957,15986337}","{06628900,06627800,06622700,06625000,06622900,06620000}"
6,"02098206",26325150,"{8897934,8893722,8893782,8894216,8896032,8897336}","{02096960,02097314,0209741955,0209782609,0209734440,02097517}"
6,"05378500",2118562,"{1874965,1877059,2028753,2441678,13107421,13107695}","{05344500,05345000,05355200,05372995,05369500,05370000}"
6,"01154500",9331548,"{9327870,6089035,6090009,9329460,10102348,10102844}","{01144500,01151500,01153000,01152500,01153550,01154000}"
6,"01636500",8445070,"{5907079,8440459,8441253,8441257,8444776,8445436}","{01631000,01634500,01634000,01635500,01636464,01636316}"
6,"05543500",14780172,"{14787569,13439203,14779256,14780020,14787279,14787409}","{05537980,05527500,05541710,05542000,05540500,05539000}"
6,"02080500",10451190,"{8653008,8693827,8693517,8693577,8710783,12049196}","{02066000,02076000,02077670,02077303,02077000,02079640}"
5,"04294000",166176984,"{4590283,4590297,4590355,4590375,4590883}","{04293500,04293600,04293700,04293795,04293900}"
5,"02337170",3286494,"{3286344,3285802,3285604,3285608,3285770}","{02336490,02337040,02336635,02336526,02336728}"
5,"05536890",14786195,"{13463913,13463903,13463761,13463785,13463917}","{05536357,05536105,05536500,05536340,05536290}"
5,"09415900",20624162,"{20635122,20635126,20637420,20642190,20647546}","{09415460,09415510,09415558,09415645,09415590}"
5,"06652000",22091925,"{15954494,15966993,15980585,22105603,22108899}","{06639000,06635000,06630000,06646000,06647500}"
5,"07281600",17991438,"{15252066,15274896,15275898,15288074,15289204}","{07275900,07274000,07274252,07268000,07273100}"
5,"10322800",11227656,"{11228062,11228832,11230180,11230228,11230250}","{103225055,10322505,10322510,10322555,10322535}"
5,"07126485",934978,"{935000,935058,938894,938722,939500}","{07126480,07126415,07126300,07126325,07126390}"
5,"05325000",4142894,"{2747410,4047160,4140818,4142704,10596370}","{05320000,05317000,05316580,05317200,05320500}"
5,"04165710",10850310,"{13183066,13193844,13194046,13195602,13196034}","{04165500,04159492,04159900,04160600,04159130}"
5,"08040600",1111453,"{1109655,1152351,1157813,1158005,1159329}","{08033500,08037000,08038000,08037050,08039100}"
5,"13154500",23275628,"{24491000,23195742,23252011,24491716,24494446}","{13094000,13108150,13152500,13095500,13095175}"
5,"02087183",166737579,"{8777649,8777373,8777467,933020162,8778383}","{0208524975,02086500,02086624,02086849,02085070}"
5,"04247000",22026196,"{22024822,22024054,22024300,22024680,22025558}","{04242640,04243500,04244000,04243783,04245840}"
5,"07105500",1529755,"{1529719,1529693,1529691,1529743,1529787}","{07104905,07103700,07103702,07105000,07105490}"
5,"06877600",18887262,"{3541375,18884376,18866012,18869658,18885046}","{06876900,06866500,06869500,06869950,06870300}"
5,"07152500",20969524,"{21166925,21135947,20988263,21002333,21037175}","{07146500,07147800,07152000,07151000,07148111}"
5,"01100000",6746184,"{6075425,6745688,6745410,6744642,6771379}","{01096500,01092000,01094000,010965852,01099500}"
5,"08136000",5719546,"{5702253,5702879,5702807,5707852,5712857}","{08131400,08130700,08128000,08128400,08135000}"
5,"08096500",5513784,"{5513718,5523936,5523974,5531474,166414852}","{08093100,08095300,08095400,08095200,08093360}"
5,"02060500",8626299,"{8625313,8626863,8627467,8627301,8632147}","{02056650,02056900,02056000,02059500,02058400}"
5,"06090800",12436757,"{12443901,12397894,12435001,12435265,12493987}","{06078200,06089000,06090650,06090300,06090500}"
5,"08061750",1293162,"{1292054,1292124,1292096,1292128,1293010}","{08059400,08059000,08059350,08059590,08061540}"
5,"08331160",943020262,"{17806166,17806268,17806324,17806546,17808622}","{08329900,08329870,08329835,08330600,08330875}"
5,"12388700",24355829,"{24356639,24356091,24356265,24356439,24357005}","{12372000,12381400,12377150,12375900,12374250}"
5,"02486000",15758318,"{15748460,15750940,15758118,15786158,15788348}","{02484760,02485498,02485700,02484500,02483500}"
5,"02148000",9718581,"{9736382,9734048,9735864,9737004,9737014}","{02147020,02147126,02147500,021473415,021473428}"
5,"0423406130",21979635,"{21980835,21978911,21983115,21983265,21983449}","{04232730,0423401815,04234000,04233255,04233300}"
5,"03354000",18477453,"{18476893,18476569,18476589,18476493,18476509}","{03353611,03353800,03353910,03353620,03353637}"
5,"09379500",1385518,"{1399324,1403494,1408209,3261785,3272718}","{09378630,09371010,09379200,09372000,09378170}"
5,"01354500",22744303,"{3247040,22741627,22741637,22745083,22745373}","{01351500,01347000,01348000,01349000,01349150}"
5,"01096500",6075425,"{6076105,6076039,6078267,6078329,6078383}","{01094500,01096000,01095220,01095375,01095434}"
5,"04191500",15650317,"{15644770,15649577,15650217,15651637,15651789}","{04190000,04191058,04191444,04188100,04186500}"
5,"06894650",4391379,"{4391417,4389645,4391187,4390605,4391199}","{06893000,06894200,06894000,06893620,06893578}"
5,"08313000",17865930,"{17848906,17864756,17866714,17866820,17866900}","{08290000,08279500,08291000,08294210,08302500}"
5,"09506000",20436276,"{20435246,20452548,20454478,20454522,20454544}","{09505800,09504000,09504500,09505350,09505200}"
5,"09380000",20733845,"{3379149,4931806,1385518,3278571,4907451}","{09185600,09328920,09379500,09337500,09333500}"
5,"11455350",948021229,"{15030099,15033009,15048187,15048189,948020360}","{11452500,11454000,11455315,11455335,11455165}"
5,"03072655",3788105,"{3769806,3768536,3773681,3775649,3787957}","{03062235,03062500,03070500,03070260,03072000}"
5,"0212378405",9211976,"{9223419,9233605,9235493,9236229,9252852}","{02121500,02118500,02118000,02120780,02116500}"
5,"06714215",229709,"{188073,188107,194423,189899,233727}","{06711780,06711618,06711565,06711575,06713500}"
5,"08159200",5790218,"{5781917,5781369,5781285,5781291,5781319}","{08158000,08159000,08158600,08158045,08158035}"
5,"01645000",4506374,"{4505702,4505876,4505912,4507200,4507210}","{01644371,01644390,01644380,01644372,01644375}"
5,"02087500",8786017,"{166737579,8783667,8783643,8783803,8784005}","{02087183,02087324,0208732885,0208732534,02087359}"
5,"13139510",23251191,"{23251223,23251331,23251451,23251487,23251661}","{13138000,13137500,13135520,13135500,13137000}"
5,"06610000",17219468,"{17244488,14626246,14626230,17208706,17246982}","{06601200,06607500,06602400,06609500,06608500}"
5,"06710247",188209,"{188283,188691,189869,190643,940190148}","{06709740,06709530,06710150,06701900,06709910}"
5,"02298554",16838830,"{16837004,16838802,16838806,16838808,16838820}","{02298488,02298530,02298527,02298492,02298495}"
5,"08072050",1440433,"{1468442,1520083,1520091,1520237,1520249}","{08069500,08070200,08071280,08071000,08070500}"
5,"01375000",6227896,"{6227290,6227208,6227578,6227386,6228280}","{01374701,01374531,01374941,01374821,01374901}"
5,"04231600",15537883,"{15537789,15537859,15539133,15539769,15540125}","{04231000,04230500,04228500,04227500,04229500}"
5,"06796000",17415522,"{7301400,7301710,940210142,17309794,17421926}","{06774000,06794650,06794000,06793000,06795500}"
5,"09295000",11982097,"{11966509,11976201,11976641,11979373,11981363}","{09288180,09291000,09292500,09279000,09277500}"
5,"06935965",6010106,"{6010272,6009232,6009374,6009476,6009568}","{06935550,06935955,06935890,06935830,06935770}"
5,"07308500",13971012,"{561081,13534209,13741403,13956737,14003839}","{07307028,07301110,07299670,07299540,07308200}"
5,"021564493",9705126,"{12035715,12034957,12035153,12035131,12038169}","{02153551,02153590,021556525,02153700,02156300}"
5,"08088000",5494668,"{5521636,5525073,5525607,5539988,5542148}","{08085500,08086290,08086212,08082500,08082700}"
5,"03086000",3821223,"{3785895,3806147,3823985,11049994,11049744}","{03075070,03083500,03085500,03049500,03049800}"
5,"04235600",21975173,"{21975983,21977249,21979635,21981203,21982175}","{04234254,04235440,0423406130,04235250,04235000}"
5,"07374000",19088319,"{19266232,19104913,19112978,19138473,938060125}","{07289000,07295000,07292500,07290650,07290000}"
5,"11377100",12068830,"{2495212,2495224,2495296,2496048,4296241}","{11374000,11370500,11372000,11376550,11376000}"
5,"06759500",3561878,"{12932,225621,2875511,2888828,2900123}","{06741510,06721000,06755960,06730525,06752280}"
5,"02419890",21719268,"{22038591,21712124,21717690,21715322,22035157}","{02414715,02418230,02419000,02419670,02415000}"
5,"07099970",951131,"{920981,947431,950343,950441,950417}","{07094500,07096250,07099060,07099238,382629104493000}"
5,"01205500",7718288,"{7713698,7716608,7713634,7716694,7716956}","{01200500,01204000,01202501,01201487,01203510}"
5,"08057000",942030011,"{1260357,1268356,1269868,1269870,1279696}","{08056500,0804956950,08049500,08050100,08055560}"
5,"05487520",22254205,"{22249381,22248913,22250473,22251347,22253619}","{05485500,05485640,05486000,05487470,05486490}"
5,"06774000",7301400,"{7268297,7291290,7297570,7298760,7301714}","{06770500,06772100,06772775,06773500,06772898}"
5,"02339500",3298592,"{3291986,3289348,3289600,3291248,3296804}","{02338500,02338660,02338840,02338523,02339495}"
4,"12194000",24270512,"{24254981,24255125,24255877,24264763}","{12182500,12181000,12193400,12189500}"
4,"01054500",6710311,"{6710239,6716129,19335265,19335075}","{01054300,01054200,01054000,01054114}"
4,"09448500",21328283,"{3077321,21324425,21327929,21357877}","{09442000,09447000,09447800,09444500}"
4,"11370500",2495224,"{7952678,7948412,7952754,7966063}","{11355010,11361000,11355500,11342000}"
4,"02035000",8575903,"{8548103,8545183,8547583,8568309}","{02029000,02030000,02030500,02034000}"
4,"01473500",4782501,"{4782441,4782107,4781877,4782153}","{01472000,01473000,01473169,01472157}"
4,"01417000",1748727,"{1748583,1748589,1748611,1748723}","{01413500,01415000,01414500,01414000}"
4,"04082400",6863677,"{6866199,9035359,9034417,9035351}","{04073500,04079000,04081000,04080000}"
4,"03316500",11628855,"{3998496,4001162,4002874,4033060}","{03310300,03308500,03310400,03314500}"
4,"10259100",22593529,"{948100389,22590267,22591957,948100382}","{10257549,10257600,10257720,10259050}"
4,"03336000",10206671,"{10204967,10205115,10205379,10206361}","{03335673,03335500,033356786,033356848}"
4,"09498500",22442058,"{22442080,22440644,22440682,22441578}","{09497500,09497800,09497980,09498400}"
4,"11046000",22548559,"{22548457,22548429,22548441,22548547}","{11044300,11044350,11044800,11045600}"
4,"10344505",8933706,"{8933684,8933736,8933890,8933958}","{10344500,10340500,10338700,10338000}"
4,"01059000",6712623,"{6709987,6710311,6711893,6712297}","{01055000,01054500,01057000,01055500}"
4,"01081500",6741776,"{6731463,6730525,6731199,6739752}","{01076500,01077400,01078000,01081000}"
4,"09058000",1232797,"{1231609,1231703,1232803,1313213}","{09041400,09034250,09038500,09057500}"
4,"09067020",1319278,"{1319426,1319442,1319752,1320280}","{09066510,09067000,09064600,09065100}"
4,"12447200",23064723,"{23064753,23064963,23065203,23065187}","{12445900,12445000,12446995,12445500}"
4,"13307000",23503064,"{23503542,23503170,23503302,947060070}","{13302500,13306370,13306385,13305310}"
4,"03185400",6920810,"{6908699,6906905,6920932,12107594}","{03176500,03179000,03185000,03184000}"
4,"07124000",1594283,"{952589,975692,981799,1423102}","{07109500,07121500,07119500,07116500}"
4,"05331000",937010723,"{1100622,1100446,1103864,2387412}","{05288500,05288705,05289800,05330920}"
4,"02215000",6365360,"{6341518,6340800,6341180,6363594}","{02213000,02213500,02214075,02214590}"
4,"13018750",24432645,"{23123131,23130852,24432657,24433179}","{13013650,13015000,13018350,13016450}"
4,"11303500",1897416,"{2819818,2823972,2828044,2827982}","{11303000,11290000,11274550,11274630}"
4,"13269000",24193082,"{23409945,24143926,24166140,24184848}","{13213100,13233300,13251000,13266000}"
4,"09502000",20478096,"{22442058,22431630,22441910,22443884}","{09498500,09499000,09498503,09498502}"
4,"10126000",4605050,"{664424,666156,666170,4560060}","{10109000,10113500,10105900,10092700}"
4,"05582000",13554847,"{13554633,13552723,13554729,13555705}","{05580000,05580950,05578500,05579500}"
4,"13340000",23606382,"{23580627,23588130,23597191,23606608}","{13336500,13337000,13338500,13339500}"
4,"07182260",20907011,"{20906985,20907947,20920589,20920709}","{07182250,07182200,07180400,07180500}"
4,"06910450",5166993,"{5166621,5156625,5162189,5162299}","{06909000,06909500,06910230,06909950}"
4,"11389500",24688709,"{12068830,8019544,8020924,12068798}","{11377100,11381500,11383500,11379500}"
4,"04192500",15640871,"{15650317,15662798,15662946,15669979}","{04191500,04185318,04185440,04183500}"
4,"06933500",7447469,"{7410408,7423890,7434227,7446307}","{06928420,06928000,06930060,06932000}"
4,"07165570",371305,"{369211,367965,367999,368019}","{07164500,07164600,07165565,07165562}"
4,"02232000",11002255,"{11002981,11012057,11012797,11014543}","{02231600,02231454,02231396,02231342}"
4,"08458800",607349,"{285292,318261,334022,165886321}","{08377200,08456310,08447410,08449400}"
4,"09314500",3910559,"{3906361,3906485,3907351,3910095}","{09312600,09310700,09310500,09314280}"
4,"01362500",6189754,"{6189624,6189644,6189648,6189752}","{01362200,01362370,0136230002,01362497}"
4,"01046500",3319220,"{1025264,1032315,1032541,3318560}","{01042500,01044550,01043500,01046000}"
4,"06894000",4391187,"{4390589,4390805,4390909,4390979}","{06893970,06893830,06893820,06893890}"
